JICOJHNP_00001	K01745
JICOJHNP_04316	K04072
JICOJHNP_04317	K13010
JICOJHNP_04320	K07783
JICOJHNP_04324	K02358
JICOJHNP_04327	K01802
JICOJHNP_04328	K03814
JICOJHNP_04331	K01586
JICOJHNP_04336	K07714
JICOJHNP_04340	K06204
JICOJHNP_04342	K13993
JICOJHNP_04350	K00703
JICOJHNP_04351	K00700
JICOJHNP_04352	K00688
JICOJHNP_04355	K01524
JICOJHNP_04359	K03496
JICOJHNP_04364	K00548
JICOJHNP_04368	K03306
JICOJHNP_04370	K06001
JICOJHNP_04375	K13641
JICOJHNP_04377	K03738
JICOJHNP_04379	K11785
JICOJHNP_04380	K04075
JICOJHNP_04381	K03798
JICOJHNP_04382	K00796
JICOJHNP_04384	K03525
JICOJHNP_04385	K03327
JICOJHNP_04388	K11085
JICOJHNP_04391	K11074
JICOJHNP_04392	K11071
JICOJHNP_04393	K11072
JICOJHNP_04394	K02055
JICOJHNP_04398	K02468
JICOJHNP_04399	K00864
JICOJHNP_04406	K03086
JICOJHNP_04409	K00134
JICOJHNP_04410	K03306
JICOJHNP_04412	K05814
JICOJHNP_04413	K10112
JICOJHNP_04414	K02026
JICOJHNP_04415	K05813
JICOJHNP_04416	K02529
JICOJHNP_04418	K03686
JICOJHNP_04422	K02454
JICOJHNP_04423	K07636
JICOJHNP_04425	K03802
JICOJHNP_04426	K13282
JICOJHNP_04427	K13051
JICOJHNP_04435	K00640
JICOJHNP_04436	K01738
JICOJHNP_04437	K00241
JICOJHNP_04439	K04487
JICOJHNP_04442	K00175
JICOJHNP_04443	K00174
JICOJHNP_04447	K05396
JICOJHNP_04448	K09022
JICOJHNP_04450	K02001
JICOJHNP_04451	K02000
JICOJHNP_04454	K05568
JICOJHNP_04455	K05567
JICOJHNP_04456	K05566
JICOJHNP_04461	K07715
JICOJHNP_04463	K07657
JICOJHNP_04464	K07710
JICOJHNP_04465	K02491
JICOJHNP_04468	K07692
JICOJHNP_04470	K03498
JICOJHNP_04471	K15257
JICOJHNP_04472	K15256
JICOJHNP_04473	K06898
JICOJHNP_04475	K00626
JICOJHNP_04484	K00266
JICOJHNP_04485	K00266
JICOJHNP_04491	K07811
JICOJHNP_04492	K03533
JICOJHNP_04493	K03532
JICOJHNP_04495	K07713
JICOJHNP_04496	K07710
JICOJHNP_04498	K03753
JICOJHNP_04499	K11261
JICOJHNP_04501	K11527
JICOJHNP_04502	K07814
JICOJHNP_04503	K11527
JICOJHNP_04504	K11526
JICOJHNP_04505	K13533
JICOJHNP_04509	K18234
JICOJHNP_04513	K03976
JICOJHNP_04517	K01714
JICOJHNP_04519	K00548
JICOJHNP_04522	K00265
JICOJHNP_04523	K00266
JICOJHNP_04526	K05592
JICOJHNP_04527	K12733
JICOJHNP_04530	K00347
JICOJHNP_04531	K00348
JICOJHNP_04532	K00349
JICOJHNP_04533	K00350
JICOJHNP_04534	K00351
JICOJHNP_04536	K00827
JICOJHNP_04538	K00140
JICOJHNP_04539	K03718
JICOJHNP_04544	K07098
JICOJHNP_04546	K01759
JICOJHNP_04548	K02348
JICOJHNP_04550	K11617
JICOJHNP_04551	K09816
JICOJHNP_04552	K09817
JICOJHNP_04553	K09815
JICOJHNP_04554	K07636
JICOJHNP_04555	K02483
JICOJHNP_04559	K02428
JICOJHNP_04561	K07133
JICOJHNP_04563	K02485
JICOJHNP_04564	K07814
JICOJHNP_04566	K09129
JICOJHNP_04569	K01999
JICOJHNP_04570	K01556
JICOJHNP_04572	K06897
JICOJHNP_04574	K01995
JICOJHNP_04575	K01996
JICOJHNP_04576	K11956
JICOJHNP_04577	K11955
JICOJHNP_04578	K11954
JICOJHNP_04579	K01262
JICOJHNP_04586	K00382
JICOJHNP_04590	K00286
JICOJHNP_04592	K01897
JICOJHNP_04593	K02032
JICOJHNP_04594	K02031
JICOJHNP_04595	K02034
JICOJHNP_04596	K15581
JICOJHNP_04597	K02035
JICOJHNP_04598	K21613
JICOJHNP_04601	K03497
JICOJHNP_04602	K21498
JICOJHNP_04607	K00249
JICOJHNP_04608	K01897
JICOJHNP_04613	K02488
JICOJHNP_04614	K09458
JICOJHNP_04615	K07714
JICOJHNP_04617	K03527
JICOJHNP_04618	K03497
JICOJHNP_04619	K03496
JICOJHNP_04621	K03390
JICOJHNP_04622	K11072
JICOJHNP_04624	K11071
JICOJHNP_04625	K11070
JICOJHNP_04626	K03578
JICOJHNP_04627	K02482
JICOJHNP_04633	K13599
JICOJHNP_04634	K07709
JICOJHNP_04636	K04027
JICOJHNP_04638	K03615
JICOJHNP_04640	K04024
JICOJHNP_04642	K17870
JICOJHNP_04644	K04027
JICOJHNP_04645	K00764
JICOJHNP_04651	K01915
JICOJHNP_04652	K04021
JICOJHNP_04653	K04021
JICOJHNP_04659	K14155
JICOJHNP_04667	K03657
JICOJHNP_04670	K00963
JICOJHNP_04672	K01714
JICOJHNP_04678	K02224
JICOJHNP_04680	K03118
JICOJHNP_04682	K05592
JICOJHNP_04694	K06897
JICOJHNP_04695	K03671
JICOJHNP_04698	K00813
JICOJHNP_04699	K04486
JICOJHNP_04700	K15342
JICOJHNP_04705	K02946
JICOJHNP_04706	K02906
JICOJHNP_04707	K02926
JICOJHNP_04708	K02892
JICOJHNP_04709	K02886
JICOJHNP_04710	K02965
JICOJHNP_04711	K02890
JICOJHNP_04712	K02982
JICOJHNP_04713	K02878
JICOJHNP_04715	K02961
JICOJHNP_04716	K02874
JICOJHNP_04717	K02895
JICOJHNP_04718	K02931
JICOJHNP_04719	K02994
JICOJHNP_04720	K02933
JICOJHNP_04721	K02881
JICOJHNP_04722	K02988
JICOJHNP_04724	K02876
JICOJHNP_04725	K03076
JICOJHNP_04726	K02518
JICOJHNP_04727	K02919
JICOJHNP_04728	K02952
JICOJHNP_04729	K02948
JICOJHNP_04730	K02986
JICOJHNP_04731	K03040
JICOJHNP_04732	K02879
JICOJHNP_04733	K18968
JICOJHNP_04734	K11744
JICOJHNP_04737	K03088
JICOJHNP_04739	K03639
JICOJHNP_04740	K13542
JICOJHNP_04741	K01749
JICOJHNP_04744	K03271
JICOJHNP_04746	K01042
JICOJHNP_04747	K01653
JICOJHNP_04748	K15550
JICOJHNP_04750	K03296
JICOJHNP_04751	K01591
JICOJHNP_04752	K00928
JICOJHNP_04753	K06925
JICOJHNP_04754	K17758
JICOJHNP_04756	K01246
JICOJHNP_04757	K01770
JICOJHNP_04758	K01883
JICOJHNP_04759	K01886
JICOJHNP_04760	K01486
JICOJHNP_04761	K08189
JICOJHNP_04763	K00058
JICOJHNP_04765	K13355
JICOJHNP_04766	K09798
JICOJHNP_04767	K03797
JICOJHNP_04768	K06194
JICOJHNP_04769	K09811
JICOJHNP_04770	K09812
JICOJHNP_04771	K03424
JICOJHNP_04775	K01870
JICOJHNP_04776	K03101
JICOJHNP_04777	K13292
JICOJHNP_04778	K02340
JICOJHNP_04779	K00873
JICOJHNP_04780	K03644
JICOJHNP_04781	K03801
JICOJHNP_04782	K00283
JICOJHNP_04783	K00282
JICOJHNP_04784	K02437
JICOJHNP_04785	K00605
