ECFPDAKA_00002	K02477
ECFPDAKA_03371	K01870
ECFPDAKA_03372	K03101
ECFPDAKA_03373	K03774
ECFPDAKA_03374	K03527
ECFPDAKA_03376	K07714
ECFPDAKA_03377	K07710
ECFPDAKA_03378	K01950
ECFPDAKA_03379	K05807
ECFPDAKA_03380	K06180
ECFPDAKA_03381	K05810
ECFPDAKA_03382	K03695
ECFPDAKA_03385	K00499
ECFPDAKA_03387	K00059
ECFPDAKA_03393	K06001
ECFPDAKA_03394	K00547
ECFPDAKA_03399	K03637
ECFPDAKA_03401	K03635
ECFPDAKA_03402	K09024
ECFPDAKA_03403	K18453
ECFPDAKA_03404	K03564
ECFPDAKA_03406	K02503
ECFPDAKA_03409	K06168
ECFPDAKA_03410	K06217
ECFPDAKA_03411	K07042
ECFPDAKA_03412	K06189
ECFPDAKA_03413	K03820
ECFPDAKA_03414	K01869
ECFPDAKA_03416	K02340
ECFPDAKA_03420	K01923
ECFPDAKA_03421	K01951
ECFPDAKA_03422	K00088
ECFPDAKA_03423	K03601
ECFPDAKA_03431	K00008
ECFPDAKA_03432	K03296
ECFPDAKA_03441	K22390
ECFPDAKA_03446	K02217
ECFPDAKA_03447	K00216
ECFPDAKA_03453	K15987
